Workout Timestamp,Live/On-Demand,Instructor Name,Length (minutes),Fitness Discipline,Type,Title,Class Timestamp,Total Output,Avg. Watts,Avg. Resistance,Avg. Cadence (RPM),Avg. Speed (mph),Distance (mi),Calories Burned,Avg. Heartrate,Avg. Incline,Avg. Pace (min/mi)
2019-12-18 05:51 (EST),On Demand,Sam Yo,30,Cycling,Theme,30 min Holiday Ride,2019-12-13 04:50 (EST),164,91,38%,77,15.35,7.67,216,,,
2019-12-19 06:00 (EST),Live,Matt Wilpers,45,Cycling,Power Zone,45 min Power Zone Ride,2019-12-19 05:47 (EST),330,122,40%,82,16.83,12.62,434,,,
2019-12-19 06:54 (EST),On Demand,Matt Wilpers,5,Stretching,Pre & Post-Ride Stretch,5 min Post-Ride Stretch,2019-12-16 20:00 (EST),,,,,,,12,,,
2019-12-20 08:55 (EST),On Demand,Matt Wilpers,30,Cycling,Theme,30 min Halloween Ride,2019-10-30 11:20 (EST),146,81,36%,79,14.51,7.25,191,,,
2019-12-21 07:05 (EST),On Demand,Alex Toussaint,10,Cycling,Low Impact,10 min Warm Up Ride,2019-12-07 10:00 (EST),43,71,32%,83,13.66,2.27,56,,,
2019-12-21 14:54 (EST),On Demand,Ally Love,30,Cycling,Theme,30 min Holiday Ride,2019-12-20 14:00 (EST),179,99,39%,80,15.82,7.90,235,,,
2019-12-22 10:16 (EST),On Demand,Denis Morton,20,Cycling,Theme,20 min Holiday Ride,2019-12-04 15:22 (EST),86,72,35%,77,13.84,4.61,113,,,
2019-12-23 09:21 (EST),On Demand,Christine D'Ercole,30,Cycling,Music,30 min P!nk Ride,2019-11-01 11:19 (EST),223,124,41%,80,16.87,8.43,293,,,
2019-12-23 09:53 (EST),On Demand,Christine D'Ercole,5,Stretching,Pre & Post-Ride Stretch,5 min Post-Ride Stretch,2019-11-14 16:35 (EST),,,,,,,12,,,
2019-12-24 05:43 (EST),On Demand,Robin Arzon,45,Cycling,Intervals,45 min Tabata Ride,2019-12-17 17:17 (EST),304,113,42%,74,15.82,11.87,400,,,
2019-12-24 06:35 (EST),On Demand,Robin Arzon,5,Stretching,Pre & Post-Ride Stretch,5 min Post-Ride Stretch,2019-12-18 15:40 (EST),,,,,,,12,,,
2019-12-25 06:17 (EST),On Demand,Jess King,45,Cycling,Low Impact,45 min Low Impact Ride,2019-12-03 18:18 (EST),263,97,38%,80,15.79,11.84,346,,,
2019-12-25 07:04 (EST),On Demand,Jess King,5,Stretching,Pre & Post-Ride Stretch,5 min Post-Ride Stretch,2019-10-23 16:28 (EST),,,,,,,12,,,
2019-12-26 06:05 (EST),On Demand,Denis Morton,45,Cycling,Power Zone,45 min Power Zone Ride,2019-12-09 07:47 (EST),320,118,36%,87,16.19,12.14,421,,,
2019-12-27 06:35 (EST),On Demand,Emma Lovewell,45,Cycling,Music,45 min 90s Ride,2019-12-23 07:49 (EST),327,121,42%,80,17.05,12.78,430,,,
2019-12-27 07:22 (EST),On Demand,Emma Lovewell,5,Stretching,Pre & Post-Ride Stretch,5 min Post-Ride Stretch,2019-11-06 07:00 (EST),,,,,,,12,,,
2019-12-28 06:23 (EST),On Demand,Hannah Corbin,60,Cycling,Climb,60 min Climb Ride,2019-12-01 12:35 (EST),455,127,44%,75,17.24,17.23,599,,,
2019-12-29 12:45 (EST),Live,Christine D'Ercole,60,Cycling,Theme,60 min Best of the Decade Ride,2019-12-29 12:34 (EST),481,134,40%,88,17.66,17.66,633,,,
2019-12-29 13:48 (EST),On Demand,Jenn Sherman,5,Cycling,Low Impact,5 min Cool Down Ride,2019-12-24 08:00 (EST),14,48,26%,80,11.44,0.95,19,,,
2019-12-30 09:03 (EST),On Demand,Robin Arzon,20,Cycling,Low Impact,20 min Recovery Ride,2019-12-28 08:30 (EST),86,72,32%,87,14.00,4.66,113,,,
2019-12-31 13:38 (EST),On Demand,Ally Love,20,Cycling,Theme,20 min Best of the Decade Ride,2019-12-30 08:30 (EST),123,102,40%,79,16.02,5.34,161,,,
2020-01-01 06:20 (EST),On Demand,Leanne Hainsby,30,Cycling,Theme,30 min New Year's Day Recovery Ride,2020-01-01 01:00 (EST),125,70,33%,80,13.70,6.84,165,,,
2020-01-02 05:46 (EST),On Demand,Denis Morton,45,Cycling,Power Zone,45 min Power Zone Endurance Ride,2019-12-19 07:47 (EST),311,115,39%,83,16.78,12.58,410,,,
2020-01-02 06:33 (EST),On Demand,Denis Morton,10,Cycling,Low Impact,10 min Cool Down Ride,2019-12-17 11:02 (EST),41,69,31%,84,13.72,2.28,54,,,
2020-01-02 06:45 (EST),On Demand,Denis Morton,5,Stretching,Pre & Post-Ride Stretch,5 min Post-Ride Stretch,2019-12-04 11:00 (EST),,,,,,,12,,,
2020-01-03 09:19 (EST),On Demand,Hannah Corbin,20,Cycling,Low Impact,20 min Recovery Ride,2019-12-17 08:00 (EST),82,68,34%,76,13.73,4.57,108,,,
